序号,招聘主题,雇主类型
0,航天三院三〇四所2022年校园招聘,研究机构
1,深圳前海麦格美科技有限公司2022管培生招聘,互联网科技企业
2,2022极米科技春季招聘提前批-招聘简章及岗位详情,互联网科技企业
3,常州工学院2021-2022年人才招聘启事,社会企业
4,浙江大学杭州国际科创中心先进储能技术课题组2022年博士后招聘公告,互联网科技企业
5,武汉东湖学院马克思主义学院教师招聘,互联网科技企业
6,2021-2022零点有数校园招聘火热开启,互联网科技企业
7,广西师范大学2021年高层次人才招聘公告,社会企业
8,青岛鼎信通讯 2022 届秋季校园招聘,其他类型企业
9,“安装星 星未来” 中建三局安装工程有限公司（中建三局智慧事业部）2022校园招聘,工业科技企业
10,极米2022届春季校园招聘,互联网科技企业
11,电学专利代理人,人文知识企业
12,诚壹资本招聘投资助理,其他类型企业
13,深部岩土力学与地下工程国家重点实验室面向海内外诚聘博士后研究人员,互联网科技企业
14,长城软件2022校园招聘,工业科技企业
15,中信证券北京分公司2022年校园招聘火热进行中,金融企业
16,青春韶华 腾飞起航 | 中国华腾2022年度招聘正式启动,工业科技企业
17,推想-与AI同行 推想未来,医疗科技企业
18,西南医科大学2022年诚聘海内外英才,互联网科技企业
19,浙江新安化工集团股份有限公司2022届校园招聘,工业科技企业
20,中国天辰工程有限公司2022年校园招聘,工业科技企业
21,亚信科技招聘简章,互联网科技企业
22,招商证券股份有限公司北京朝阳公园路证券营业部【招聘】,金融企业
23,揽英才 金陵科技学院招才引智，诚邀您的加盟,互联网科技企业
24,麦捷科技2022年校园招聘简章,互联网科技企业
25,启明信息技术股份有限公司2022年校园招聘简章,互联网科技企业
26,清华大学天津高端装备研究院人才引进,互联网科技企业
27,你和我的距离只有一封简历的厚度,互联网科技企业
28,中证信息技术服务有限责任公司 2021年度招聘公告,互联网科技企业
29,中国科学技术大学先进技术研究院2021-2022年度招聘简章,互联网科技企业
30,阳光电源2022届全球校园招聘秋招补录,工业科技企业
31,中国卫通集团股份有限公司招聘,其他类型企业
32,西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,社会企业
33,中国热带农业科学院热带作物品种资源研究所2022年高层次及博士人才公开招聘公告,社会企业
34,中国供销集团2022年度应届高校毕业生招聘公告,其他类型企业
35,华夏久盈资产管理有限责任公司2022校园招聘,金融企业
36,中国搜索2022年校园招聘简章,互联网科技企业
37,深圳市大数据研究院科研人员招聘简章,研究机构
38,九江学院2022年人才招聘公告,社会企业
39,恒上咨询代宽带资本旗下云天使基金投资经理,专业技术服务企业
40,宁波工程学院2021年高层次人才（教师）招聘公告,互联网科技企业
41,长三角腹地-常州工学院2021年人才招聘启事,互联网科技企业
42,校园招聘,金融企业
43,中国海外工程有限责任公司2022届大学毕业生招聘公告,工业科技企业
44,正大集团2021-2022年度中央采购部校园招聘,其他类型企业
45,网络安全就业招聘,互联网科技企业
46,福建工程学院2022年师资招聘计划,互联网科技企业
47,湖北汽车工业学院 2021年面向社会专项公开招聘工作人员公告,互联网科技企业
48,职能管理类,其他类型企业
49,集团财务室工作人员,其他类型企业
50,北京上元信安技术有限公司招聘,互联网科技企业
51,江西服装学院2022年招聘启事,互联网科技企业
52,山东电力设备有限公司2022届高校毕业生招聘,工业科技企业
53,2022年校招岗位-金融公司,金融企业
54,广州华立学院2022年博士招聘启事,互联网科技企业
55,武汉市自然资源和规划信息中心2021-2022年应届毕业生和相关岗位社会人才招聘简章,互联网科技企业
56,厦门理工学院2021年公开招聘人才启事,互联网科技企业
57,浙江师范大学2021年专任教师招聘公告,社会企业
58,12月29日智联直播 | 500强企业远东控股集团（多专业）,金融企业
59,2022年北京城市学院招聘启事,教育单位类
60,芯征程,互联网科技企业
61,三环集团2022届秋季校园招聘火热进行中,其他类型企业
62,一汽解放汽车有限公司2022年秋季校园招聘启事,生活类企业
63,未来已来 只等你来 ——海南自由贸易港招才引智活动致广大学子的邀请函,社会企业
64,2022届校园招聘,工业科技企业
65,苏州恩巨网络有限公司,互联网科技企业
66,集团办公室工作人员,其他类型企业
67,集团后勤部工作人员,其他类型企业
68,2022中公教育校园招聘,其他类型企业
69,数码视讯科技集团2022届校园招聘,互联网科技企业
70,中国电子科技集团公司第五十研究所【2022届校招】,研究机构
71,中科院兰州化物所2022年人才招聘启事,研究机构
72,2022年中信证券股份有限公司北京分公司管培生校园招聘,金融企业
74,泰山学院2022年人才引进不限专业,社会企业
75,C&F School 阳光心霖儿童公社2022年校园招聘,教育单位类
76,北京工业大学先进电池材料与器件研究所（尉海军教授课题组）2021-2022年人才招聘,互联网科技企业
77,深圳雅学科技有限公司2021年招聘,互联网科技企业
78,宇通集团2022届管培生招聘简章,其他类型企业
79,雅培中国2022校园招聘,医疗科技企业
80,中国青旅集团有限公司2022年 校园招聘启事,其他类型企业
81,销售&技术管理培训生招聘,互联网科技企业
82,进出口招贤纳士,其他类型企业
83,山东建筑大学第五届“海右青年学者论坛”诚邀海内外英才相聚云端,互联网科技企业
84,唐山银行2022年校园招聘启事,金融企业
85,银联国际有限公司2022届校园招聘,其他类型企业
86,中关村发展集团 2022年校园招聘及博士后招聘公告,其他类型企业
87,电子科技大学先进毫米波技术集成攻关研究院招聘青年教师、博士后,互联网科技企业
88,天津大学“生物信息测量与生物制造实验室”诚聘英才,互联网科技企业
89,重庆能源职业学院招聘简章,互联网科技企业
90,2021下半年浙江农林大学专任教师岗位招聘公告,社会企业
91,广州航海学院 广州交通大学（筹）2021年招聘教授公告,社会企业
92,苏州｜常熟理工学院2021-2022年面向海内外诚聘英才,社会企业
93,北京航空航天大学虚拟现实技术与系统国家重点实验室2021年专职工程师招聘公告,互联网科技企业
94,商丘工学院2022年教师招聘,互联网科技企业
95,中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告,社会企业
96,不负韶华 共筑梦想-枣庄学院2021年人才招聘启事,社会企业
97,深圳市影子投资管理有限公司校园诚聘,金融企业
98,瀛通通讯股份有限公司2022届毕业生,其他类型企业
99,中企通信2022校园招聘,互联网科技企业
100,吉首大学张家界学院2022年专任教师招聘公告,教育单位类
101,2022年春季全国博士、博士后高级人才专场巡回签约洽谈会——中国科学院大学站,互联网科技企业
102,兵器装备集团财务有限责任公司 2022届校园招聘,工业科技企业
103,安徽理工大学2022年博士招聘,互联网科技企业
105,北京朗姿韩亚资产管理有限公司博士后科研工作站2022年度招聘简章,互联网科技企业
106,华夏人寿保险股份有限公司2022届校园招聘启事,金融企业
107,小米集团2022全球校园招聘-汽车专项,互联网科技企业
108,小黑盒2022年校招,互联网科技企业
109,紫光数码集团2022年度高校毕业生招聘,工业科技企业
110,福州大学博士后科研流动站2022年人才招聘计划,互联网科技企业
111,湖南省融资担保集团2022校园招聘,其他类型企业
