招聘主题,用人单位,发布日期,浏览次数
定向选调/集中选调,中国共产党武汉市委员会组织部,2022-01-04,0
弹道设计工程师/姿控设计工程师/气动设计工程师/导航设计工程师/仿真设计工程师/结构设计工程师/机电设计工程师度分析工程师/web前端工程师/JAVA开发工程师/应用软件开发工程师/FPGA工程师/嵌入式软件开发工程师/硬件设计工程师/射频、天线工程师/电气系统工程师/惯性导航工程师/固体火箭发动机设计工程师/固体火箭发动机工艺工程师/质量专员/产品保障专员/市场专员/新媒体运营专员/人事行政专员/法务专员/财务专员等,北京零壹空间科技有限公司,2022-01-04,0
软硬件工程师/光学类工程师/质量类工程师,成都极米科技股份有限公司,2022-01-04,0
经营合约部实习生/安全环保部实习生/综合部实习生,泸州市龙驰实业集团有限责任公司,2022-01-04,0
研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2022-01-04,0
管培生,中信期货有限公司济南分公司,2021-12-31,0
深圳证券交易所及其下属单位2021年度信息技术专业人员招聘启事,深圳证券交易所,2021-12-31,0
深圳证券交易所及其下属单位2021年度信息技术专业人员招聘启事,深圳证券交易所,2021-12-31,0
算法岗（控制）/C++开发岗/嵌入式开发岗/Unity3D开发岗/后端开发岗/硬件开发岗/硬件测试岗/电气设计岗/船舶设计岗/轮机设计岗/机械机构设计岗/数字硬件开发岗/射频硬件开发岗/协议栈软件开发岗/项目管理岗/质量管理岗/报销文员岗/管培生/营销管培生/营销管培生/解决方案助理工程师/工程服务助理工程师,珠海云洲智能科技股份有限公司,2021-12-30,0
Java工程师/前端工程师/FPGA工程师/射频工程师/硬件工程师/通信算法工程师/嵌入式软件工程师/产品专员/人力资源专员/采购专员/质量专员/项目专员,青岛上合航天科技有限公司,2021-12-30,0
软件开发工程师,中国工程物理研究院激光机变研究中心,2021-12-30,0
嵌入式软件开发工程师/信号算法工程师/控制算法工程师/机械工程师/硬件工程师/系统工程师/气路工程师/软件测试工程师/售前支持工程师（国内/国际）/国际市场专员/用户服务工程师（国内/国际）/技术支持工程师,深圳麦科田生物医疗技术有限公司,2021-12-30,0
量化研究员/行业研究员/高级开发,深圳市影子投资管理有限公司,2021-12-30,0
产品测试岗/架构设计岗/大数据分析岗/程序开发岗,启明信息技术股份有限公司,2021-12-30,0
Super X 探路者计划/业务需求分析师/用户体验设计师/软件开发工程师/软件质量工程师/云开发工程师/数据开发工程师,思特沃克软件技术（成都）有限公司,2021-12-30,0
飞行仿真软件工程师/C++工程师/航空技术工程师/软件开发实习生/航电仿真软件工程师,中仿智能科技（上海）股份有限公司,2021-12-30,0
java研发工程师/前端研发工程师/平台架构研发工程师/区块链研发工程师/数据分析师,欧冶云商股份有限公司,2021-12-30,0
销售工程师/区域销售/销售代表,上海仪准电子科技有限公司,2021-12-30,0
财务专员/审计专员/公共事务专员/总裁助理,拓维信息系统股份有限公司,2021-12-30,0
研发/技术/质量工程师,山东国瓷功能材料股份有限公司,2021-12-30,0
研究员/高级研究员,浙江大学 嘉兴研究院,2021-12-30,0
初级爬虫工程师/Java初级工程师/UI设计师/初级测试工程师/大数据平台工程师/初级前端工程师,魔方医药科技（苏州）有限公司,2021-12-30,0
电力电子软件工程师/嵌入式软件工程师/电力电子硬件工程师/算法工程师/结构设计工程师/热设计工程师/器件工程师/电芯研发工程师/软件测试工程师/失效分析工程师/PQA工程师/QA工程师/工艺工程师/生产计划专员/信息管理专员/信息化工程师/合同交付专员/标准与认证专员/资料开发工程师/商务专员/渠道专员/解决方案工程师/服务支持工程师/客户服务工程师,阳光电源股份有限公司,2021-12-29,0
阳光电源首届冬令营招募啦,阳光电源股份有限公司,2021-12-29,0
射频工程师/质量工程师/工艺工程师/FPGA工程师,广东宽普科技有限公司,2021-12-29,0
机械类/电气类/计算机类/电子信息类/管理类,一汽解放青岛汽车有限公司,2021-12-29,0
“海螺英才”计划/能源管理类/能源管理类/计算机及信息化类/电气自动化类/管理类/法学类,安徽海螺集团有限责任公司,2021-12-29,0
人力资源管培生/财务管理管培生/法务管培生/行业分析管培生/智研院管培生,深圳市智慧城市科技发展集团有限公司,2021-12-29,0
车辆/机械/计算电子类/电气类/材料/化学/数学/物流管理/市场营销/会计/工商管理/新闻,一汽解放汽车有限公司,2021-12-29,0
多企业多岗位,常州市人力资源和社会保障局,2021-12-29,0
研发（前端开发）/研发（JAVA开发）/产品类/设计类/信息安全类,中建三局安装工程有限公司,2021-12-29,0
智能网联类/新能源研发类/设计研发类/工艺质量类/IT互联网类/营销品牌类/专业管理类,安徽江淮汽车集团股份有限公司,2021-12-29,0
电力交易分析师,浙江万里杨能源科技股份有限公司,2021-12-29,0
IT类/造型设计类/ 研发类/规划类/生产管理类/质保类/职能类/营销类/项目管理类/采购类,一汽一大众汽车有限公司,2021-12-28,0
弹道设计工程师/姿控设计工程师/气动设计工程师/导航设计工程师/仿真设计工程师/结构设计工程师/机电设计工程师/强度分析工程师/web前端工程师/JAVA开发工程师/应用软件开发工程师/FPGA工程师/嵌入式软件开发工程师/硬件设计工程师/射频、天线工程师/电气系统工程师/惯性导航工程师/固体火箭发动机设计工程师/固体火箭发动机工艺工程师/质量专员/产品保障专员/市场专员/新媒体运营专员/人事行政专员/法务专员/财务专员等,北京零壹空间科技有限公司,2021-12-28,0
研究科学家/开发工程师/软件工程师/硬件工程师/数据清洗工程师/数据工程师,深圳市大数据研究院,2021-12-28,0
技术/销售工程师,北京爱万提斯科技有限公司,2021-12-28,0
技术岗或营销技术支持岗/技术岗/电气工程/电力系统与智能控制（自动化)/其他变压器强相关专业,山东电力设备有限公司,2021-12-28,0
产品研发/工艺质量管理/设备管理/安全环保管理/IT工程师/人力资源管理,风神轮胎股份有限公司,2021-12-28,0
c/c++/嵌入式开发/安卓开发/java开发/硬件开发,福建星网锐捷通讯股份有公司,2021-12-28,0
研究岗/开发岗/职能岗,杭州谱育科技发展有限公司,2021-12-28,0
星动力管培生,重庆红星美凯龙博览家居生活广场有限责任公司,2021-12-28,0
电子工程师,中国人民解放军第五七二〇工厂,2021-12-28,0
机械工程师/电气工程师,青岛宏大纺织机械有限责任公司,2021-12-27,0
信息安全测试工程师/安规测试工程师/无线通讯测试工程师,江苏省电子信息产品质量监督检验研究院（江苏省信息安全测评中心）,2021-12-27,0
研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2021-12-27,0
工程师类/ 生物医药类技术支持,南京江北新区生物医药公共服务平台有限公司,2021-12-27,0
研发储备/技术储备/营销储备/管理储备,浙江新安化工集团股份有限公司,2021-12-27,0
C++ 开发工程师/算法开发工程师/硬件开发工程师/售前技术支持,苏州恩巨网络有限公司,2021-12-27,0
硬件研发工程师/电气研发工程师/嵌入式软件工程师（C/C++）/DSP算法工程师/C++开发工程师,安科瑞电气股份有限公司,2021-12-27,0
基金研究员,青岛锦浪私募基金管理有限公司,2021-12-27,0
研发/市场/职能类岗位,北京数码视讯科技股份有限公司,2021-12-27,0
人力资源储备干部/试剂研发/质量管理/省区销售/仪器应用/财务管理/企划设计,四川携光生物技术有限公司,2021-12-26,0
汽车产品设计/工艺技术,陕汽集团商用车有限公司,2021-12-25,0
机电研发岗/材料、工艺研发岗/销售岗/职能岗,潮州三环（集团）股份有限公司,2021-12-25,0
行政文秘（储备总经理助理）/管培生,和乐门业有限公司,2021-12-25,0
技术/运营/研发/管理,中国电信股份有限公司安徽分公司,2021-12-24,0
云计算工程师,中国电信股份有限公司安徽分公司,2021-12-24,0
纪检一岗/纪检二岗/机电自动化管理岗/网络管理岗/信息化管理岗/财务管理岗/工程造价管理/工程技术管理/文秘岗/人力资源管理岗/经营管理岗/财务管理岗/给排水管理岗/工程造价岗/给排水管理岗/成本费用岗/经营管理岗,重庆市水利投资(集团)有限公司,2021-12-24,0
总行部室职能岗,唐山银行股份有限公司,2021-12-24,0
