招聘主题,用人单位,发布日期,浏览次数
测试工程师,才立方,2021-12-30,2
业务实施顾问,才立方,2021-12-29,81
人力资源管理,风神轮胎股份有限公司,2021-12-29,59
IT工程师,风神轮胎股份有限公司,2021-12-29,49
IT工程师,风神轮胎股份有限公司,2021-12-29,49
产品研发工程师,贵州振华群英电器有限公司（国营第八九一厂）,2021-12-29,48
工艺质量管理,风神轮胎股份有限公司,2021-12-29,42
校园招聘HR,上海链家房地产经纪有限公司,2021-12-29,45
产品研发,风神轮胎股份有限公司,2021-12-29,43
产品研发,风神轮胎股份有限公司,2021-12-29,41
车间主任助理,深圳振华富电子有限公司,2021-12-29,48
IC设计工程师,深圳振华富电子有限公司,2021-12-29,46
微波元件工程师,深圳振华富电子有限公司,2021-12-29,45
IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,52
技术支持工程师,贵州振华风光半导体股份有限公司,2021-12-29,52
工艺工程师,贵州振华风光半导体股份有限公司,2021-12-29,44
IC测试工程师,贵州振华风光半导体股份有限公司,2021-12-29,51
数字IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,72
模拟IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,45
软件开发工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,49
销售员,贵州振华华联电子有限公司,2021-12-29,39
产品检测工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,53
陈华,贵州振华华联电子有限公司,2021-12-29,30
产品应用工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,41
人力资源管理专员,贵州振华华联电子有限公司,2021-12-29,27
工艺工程师,贵州振华华联电子有限公司,2021-12-29,28
工艺工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,38
电子开关研发工程师,贵州振华华联电子有限公司,2021-12-29,30
产品研发设计工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,44
电子组件研发工程师,贵州振华华联电子有限公司,2021-12-29,29
产品研发设计工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,30
材料研发工程师,中国振华集团云科电子有限公司,2021-12-29,26
工艺工程师,深圳市振华微电子有限公司,2021-12-29,29
测试工程师,成都华微科技有限公司,2021-12-29,61
产品设计师,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,25
项目研发员,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,28
电子工程技术员,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,36
研发工程师,东莞市振华新能源科技有限公司,2021-12-29,26
微波电路设计师,中国振华集团云科电子有限公司,2021-12-29,23
研发工程师,深圳市振华微电子有限公司,2021-12-29,48
产品技术员,中国振华（集团）新云电子元器件有限责任公司（国营第四三二六厂）,2021-12-29,27
2022校招-软件研发岗,鸿合科技股份有限公司,2021-12-29,18
2022校招-技术开发岗,鸿合科技股份有限公司,2021-12-29,18
2022校招-职能市场类,鸿合科技股份有限公司,2021-12-29,19
设备管理,风神轮胎股份有限公司,2021-12-29,19
技术研发岗,深圳麦克韦尔科技有限公司,2021-12-29,18
工艺工程师,贵州振华群英电器有限公司（国营第八九一厂）,2021-12-29,19
人力资源管理,风神轮胎股份有限公司,2021-12-29,18
航天行云（航天科工四院卫星总体单位）2022年度校园招聘,航天行云科技有限公司,2021-12-29,17
核电工程师,国核示范电站有限责任公司,2021-12-28,17
专利工程师,广州德科知识产权代理有限公司西安分公司,2021-12-27,52
机械工程师,安徽巨一科技股份有限公司,2021-12-27,48
上位机软件工程师,安徽巨一科技股份有限公司,2021-12-27,37
销售工程师,特法尔（北京）科技有限公司,2021-12-27,30
产品工程师,深圳市安保科技有限公司,2021-12-27,29
整机工艺工程师,深圳市安保科技有限公司,2021-12-27,29
 算法工程师(杭州、武汉),华芯巨数（杭州）微电子有限公司,2021-12-27,30
软件开发工程师（杭州、武汉）,华芯巨数（杭州）微电子有限公司,2021-12-27,29
软件测试工程师(杭州、武汉),华芯巨数（杭州）微电子有限公司,2021-12-27,29
产品应用工程师(杭州、武汉）,华芯巨数（杭州）微电子有限公司,2021-12-27,31
测试工程师,深圳市安保科技有限公司,2021-12-27,28
机械开发工程师,杰克缝纫机股份有限公司,2021-12-24,112
控制软件工程师,杰克缝纫机股份有限公司,2021-12-24,99
硬件工程师,杰克缝纫机股份有限公司,2021-12-24,98
应用软件工程师,杰克缝纫机股份有限公司,2021-12-24,94
电机结构工程师,杰克缝纫机股份有限公司,2021-12-24,94
测试工程师,杰克缝纫机股份有限公司,2021-12-24,92
国内营销类,杰克缝纫机股份有限公司,2021-12-24,91
海外营销专员,杰克缝纫机股份有限公司,2021-12-24,91
售后服务/客户服务,杰克缝纫机股份有限公司,2021-12-24,88
生产管理储备,杰克缝纫机股份有限公司,2021-12-24,96
财务会计,杰克缝纫机股份有限公司,2021-12-24,87
人力资源专员,杰克缝纫机股份有限公司,2021-12-24,93
信息化管理岗,中国市政工程西南设计研究总院有限公司,2021-12-24,87
事业单位工作人员,胶州市人力资源和社会保障局,2021-12-24,90
营销岗,长鹰信质科技股份有限公司,2021-12-24,84
研发岗,长鹰信质科技股份有限公司,2021-12-24,82
项目岗,长鹰信质科技股份有限公司,2021-12-24,82
质量岗,长鹰信质科技股份有限公司,2021-12-24,83
机械专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,33
宇通校园猎头,郑州宇通集团有限公司,2021-12-24,89
电学/通信领域专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,38
研发工程师,南京汉隆科技有限公司,2021-12-24,27
嵌入式软件工程师,湖南北云科技有限公司,2021-12-24,28
高级专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,26
测试工程师,南京汉隆科技有限公司,2021-12-24,26
超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-12-24,28
渠道销售总监,深圳市巨博华投资有限公司,2021-12-23,82
技术岗/职能岗,广州地铁设计研究院股份有限公司,2021-12-23,78
生产研发工程师,浙江黎明智造股份有限公司,2021-12-23,76
质量工程师,浙江黎明智造股份有限公司,2021-12-23,70
模具设计工程师,浙江黎明智造股份有限公司,2021-12-23,71
电气自动化工程师,浙江黎明智造股份有限公司,2021-12-23,68
量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,73
渠道销售经理,深圳市巨博华投资有限公司,2021-12-23,78
量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,70
量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,67
软件工程师,浙江黎明智造股份有限公司,2021-12-23,74
项目工程师,浙江黎明智造股份有限公司,2021-12-23,72
生产管理,浙江黎明智造股份有限公司,2021-12-23,75
量化研究员/行业研究员/高级开发,深圳市影子投资管理有限公司,2021-12-23,70
自动化工程师,海澜智云科技有限公司,2021-12-22,85
电仪工程师,海澜智云科技有限公司,2021-12-22,73
化工工程师,海澜智云科技有限公司,2021-12-22,71
节能项目经理,海澜智云科技有限公司,2021-12-22,82
短视频编导,旷世传声传媒科技有限责任公司,2021-12-22,68
阳光电源2022届全球校园招聘秋招补录,阳光电源股份有限公司,2021-12-22,100
美资企业-猎头实习生（招聘方向）,讯升（上海）人力资源有限公司成都分公司,2021-12-22,73
光学工程师,深圳市矽赫科技有限公司,2021-12-22,77
机械工程师,深圳市大族光电设备有限公司,2021-12-22,69
电气工程师,深圳市大族光电设备有限公司,2021-12-22,68
香港科技大学数据建模硕士学位项目（MSc DDM）1月宣讲会（线上+线下）通知,南京途善久文化传播有限公司,2021-12-22,77
硬件工程师,深圳市矽赫科技有限公司,2021-12-22,69
生产专训生,滦州伊利乳业有限责任公司,2021-12-22,76
毫米波雷达算法工程师(上海/常州）,德心智能科技（常州）有限公司,2021-12-22,73
雷达信号处理工程师（上海/常州）,德心智能科技（常州）有限公司,2021-12-22,73
工艺工程师,深圳市大族光电设备有限公司,2021-12-22,81
多益网络2022届校园招聘补录,多益网络有限公司,2021-12-22,85
美丽中国支教项目老师（研后空宣）,北京立德未来助学公益基金会,2021-12-21,89
技术/销售工程师,北京爱万提斯科技有限公司,2021-12-21,79
研究员,兴业经济研究咨询股份有限公司,2021-12-21,86
电气师,中国电建集团青海省电力设计院有限公司,2021-12-21,83
机械及车辆工程专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,62
材料化工类专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,61
商标代理人助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,63
电子及通讯工程专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,72
机械设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,62
电气设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,65
软件设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,61
光学设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,60
机械助理工程师,深圳市赢合科技股份有限公司,2021-12-21,56
电气助理工程师,深圳市赢合科技股份有限公司,2021-12-21,59
软件助理工程师（开发方向）,深圳市赢合科技股份有限公司,2021-12-21,59
软件助理工程师（实施方向）,深圳市赢合科技股份有限公司,2021-12-21,55
软件助理工程师（上位机方向）,深圳市赢合科技股份有限公司,2021-12-21,58
机械工程师,深圳市赢合科技股份有限公司,2021-12-21,60
电气工程师,深圳市赢合科技股份有限公司,2021-12-21,55
图像算法研究员,佳能医疗系统（中国）有限公司,2021-12-21,62
医疗软件工程师,佳能医疗系统（中国）有限公司,2021-12-21,64
工程师,北京汽车研究总院有限公司,2021-12-21,61
设备工程师,无锡车联天下信息技术有限公司,2021-12-20,76
PS 工程师,无锡车联天下信息技术有限公司,2021-12-20,76
NPI 工程师,无锡车联天下信息技术有限公司,2021-12-20,77
Labview 工程师,无锡车联天下信息技术有限公司,2021-12-20,74
结构工程师,无锡车联天下信息技术有限公司,2021-12-20,75
测试工程师,无锡车联天下信息技术有限公司,2021-12-20,69
IOS 开发工程师,无锡车联天下信息技术有限公司,2021-12-20,73
JAVA 开发工程师,无锡车联天下信息技术有限公司,2021-12-20,69
H5 前端工程师,无锡车联天下信息技术有限公司,2021-12-20,73
硬件工程师,无锡车联天下信息技术有限公司,2021-12-20,71
仪表软件工程师,无锡车联天下信息技术有限公司,2021-12-20,70
MCU 软件工程师,无锡车联天下信息技术有限公司,2021-12-20,70
集成测试工程师,无锡车联天下信息技术有限公司,2021-12-20,72
安卓软件工程师,无锡车联天下信息技术有限公司,2021-12-20,70
电芯工程师,华富（江苏）锂电新技术有限公司,2021-12-20,61
电子工程师,华富（江苏）锂电新技术有限公司,2021-12-20,56
结构工程师,华富（江苏）锂电新技术有限公司,2021-12-20,67
SMT 工程师,无锡车联天下信息技术有限公司,2021-12-20,71
PQM 工程师,无锡车联天下信息技术有限公司,2021-12-20,66
QE 工程师,无锡车联天下信息技术有限公司,2021-12-20,66
实验室工程师,无锡车联天下信息技术有限公司,2021-12-20,70
电力机车机械设计师、工艺师,中车大同电力机车有限公司,2021-12-20,67
市场营销岗,沈阳兴华航空电器有限责任公司,2021-12-20,59
设计研发岗,沈阳兴华航空电器有限责任公司,2021-12-20,56
生产管理岗,沈阳兴华航空电器有限责任公司,2021-12-20,56
品牌主播,旷世传声传媒科技有限责任公司,2021-12-20,59
高压绝缘研究员（博士）,珠海市睿影科技有限公司,2021-12-20,56
中小学教师,桓台县红莲湖学校,2021-12-20,62
直播运营管培生,旷世传声传媒科技有限责任公司,2021-12-20,61
攀枝花学院2021年第五批直接考核招聘高层次人才公告,北京磐石活水信息科技有限公司,2021-12-18,63
电子工程师,武汉中电通信有限责任公司,2021-12-18,56
结构工程师,佛山市芯耀环保科技有限公司,2021-12-17,134
研发工程师,佛山市芯耀环保科技有限公司,2021-12-17,64
工艺工程师,佛山市芯耀环保科技有限公司,2021-12-17,60
品质工程师,佛山市芯耀环保科技有限公司,2021-12-17,61
人事行政,佛山市芯耀环保科技有限公司,2021-12-17,58
产品策划专员,佛山市芯耀环保科技有限公司,2021-12-17,62
渗透测试工程师,杭州安信检测技术有限公司,2021-12-17,69
网络安全测评师,杭州安信检测技术有限公司,2021-12-17,63
密码测评工程师,杭州安信检测技术有限公司,2021-12-17,64
芯片研发工程师,无锡市核力创芯科技有限公司,2021-12-17,62
专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,64
专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,61
专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-17,61
物理层算法工程师,北京慧清科技有限公司,2021-12-16,74
数字信号处理工程师,北京慧清科技有限公司,2021-12-16,74
射频工程师,北京慧清科技有限公司,2021-12-16,86
嵌入式软件工程师,北京慧清科技有限公司,2021-12-16,74
网络算法工程师,北京慧清科技有限公司,2021-12-16,70
嵌入式硬件工程师,北京慧清科技有限公司,2021-12-16,67
交易员,西安天勤汇理私募基金管理有限公司,2021-12-16,70
深圳报业集团2022年校园招聘,深圳报业集团,2021-12-16,102
猎头管培生,上海岱澳人才信息咨询有限公司,2021-12-16,67
博士后工作站-深度学习算法研究员-医疗AI,北京安德医智科技有限公司,2021-12-16,64
中国石油大学（北京）,中国石油大学（北京）,2021-12-16,69
软件开发工程师,北京宏天信业信息技术股份有限公司,2021-12-16,61
电仪工程师,天津利安隆新材料股份有限公司,2021-12-15,90
营销培训生,内蒙古伊利实业集团股份有限公司成都第一分公司,2021-12-15,63
外贸业务员,上海浦劢实业有限公司,2021-12-15,59
特变电工自控设备有限公司2022届校园招聘简章,新疆特变电工自控设备有限公司,2021-12-15,55
市场营销岗,沈阳兴华航空电器有限责任公司,2021-12-20,60
设计研发岗,沈阳兴华航空电器有限责任公司,2021-12-20,57
生产管理岗,沈阳兴华航空电器有限责任公司,2021-12-20,57
高压绝缘研究员（博士）,珠海市睿影科技有限公司,2021-12-20,57
中小学教师,桓台县红莲湖学校,2021-12-20,63
品牌主播,旷世传声传媒科技有限责任公司,2021-12-20,60
直播运营管培生,旷世传声传媒科技有限责任公司,2021-12-20,62
攀枝花学院2021年第五批直接考核招聘高层次人才公告,北京磐石活水信息科技有限公司,2021-12-18,64
电子工程师,武汉中电通信有限责任公司,2021-12-18,57
结构工程师,佛山市芯耀环保科技有限公司,2021-12-17,135
研发工程师,佛山市芯耀环保科技有限公司,2021-12-17,65
工艺工程师,佛山市芯耀环保科技有限公司,2021-12-17,61
品质工程师,佛山市芯耀环保科技有限公司,2021-12-17,62
人事行政,佛山市芯耀环保科技有限公司,2021-12-17,59
产品策划专员,佛山市芯耀环保科技有限公司,2021-12-17,63
渗透测试工程师,杭州安信检测技术有限公司,2021-12-17,70
