序号,招聘主题,用人单位,发布日期,浏览次数
0,测试工程师,才立方,2021-12-30,2
1,业务实施顾问,才立方,2021-12-29,81
2,人力资源管理,风神轮胎股份有限公司,2021-12-29,59
3,IT工程师,风神轮胎股份有限公司,2021-12-29,49
4,IT工程师,风神轮胎股份有限公司,2021-12-29,49
5,产品研发工程师,贵州振华群英电器有限公司（国营第八九一厂）,2021-12-29,48
6,工艺质量管理,风神轮胎股份有限公司,2021-12-29,42
7,校园招聘HR,上海链家房地产经纪有限公司,2021-12-29,45
8,产品研发,风神轮胎股份有限公司,2021-12-29,43
9,产品研发,风神轮胎股份有限公司,2021-12-29,41
10,车间主任助理,深圳振华富电子有限公司,2021-12-29,48
11,IC设计工程师,深圳振华富电子有限公司,2021-12-29,46
12,微波元件工程师,深圳振华富电子有限公司,2021-12-29,45
13,IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,52
14,技术支持工程师,贵州振华风光半导体股份有限公司,2021-12-29,52
15,工艺工程师,贵州振华风光半导体股份有限公司,2021-12-29,44
16,IC测试工程师,贵州振华风光半导体股份有限公司,2021-12-29,51
17,数字IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,72
18,模拟IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,45
19,软件开发工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,49
20,销售员,贵州振华华联电子有限公司,2021-12-29,39
21,产品检测工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,53
22,陈华,贵州振华华联电子有限公司,2021-12-29,30
23,产品应用工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,41
24,人力资源管理专员,贵州振华华联电子有限公司,2021-12-29,27
25,工艺工程师,贵州振华华联电子有限公司,2021-12-29,28
26,工艺工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,38
27,电子开关研发工程师,贵州振华华联电子有限公司,2021-12-29,30
28,产品研发设计工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,44
29,电子组件研发工程师,贵州振华华联电子有限公司,2021-12-29,29
30,产品研发设计工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,30
31,材料研发工程师,中国振华集团云科电子有限公司,2021-12-29,26
32,工艺工程师,深圳市振华微电子有限公司,2021-12-29,29
33,测试工程师,成都华微科技有限公司,2021-12-29,61
34,产品设计师,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,25
35,项目研发员,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,28
36,电子工程技术员,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,36
37,研发工程师,东莞市振华新能源科技有限公司,2021-12-29,26
38,微波电路设计师,中国振华集团云科电子有限公司,2021-12-29,23
39,研发工程师,深圳市振华微电子有限公司,2021-12-29,48
40,产品技术员,中国振华（集团）新云电子元器件有限责任公司（国营第四三二六厂）,2021-12-29,27
41,2022校招-软件研发岗,鸿合科技股份有限公司,2021-12-29,18
42,2022校招-技术开发岗,鸿合科技股份有限公司,2021-12-29,18
43,2022校招-职能市场类,鸿合科技股份有限公司,2021-12-29,19
44,设备管理,风神轮胎股份有限公司,2021-12-29,19
45,技术研发岗,深圳麦克韦尔科技有限公司,2021-12-29,18
46,工艺工程师,贵州振华群英电器有限公司（国营第八九一厂）,2021-12-29,19
47,人力资源管理,风神轮胎股份有限公司,2021-12-29,18
48,航天行云（航天科工四院卫星总体单位）2022年度校园招聘,航天行云科技有限公司,2021-12-29,17
49,核电工程师,国核示范电站有限责任公司,2021-12-28,17
50,专利工程师,广州德科知识产权代理有限公司西安分公司,2021-12-27,52
51,机械工程师,安徽巨一科技股份有限公司,2021-12-27,48
52,上位机软件工程师,安徽巨一科技股份有限公司,2021-12-27,37
53,销售工程师,特法尔（北京）科技有限公司,2021-12-27,30
54,产品工程师,深圳市安保科技有限公司,2021-12-27,29
55,整机工艺工程师,深圳市安保科技有限公司,2021-12-27,29
56, 算法工程师(杭州、武汉),华芯巨数（杭州）微电子有限公司,2021-12-27,30
57,软件开发工程师（杭州、武汉）,华芯巨数（杭州）微电子有限公司,2021-12-27,29
58,软件测试工程师(杭州、武汉),华芯巨数（杭州）微电子有限公司,2021-12-27,29
59,产品应用工程师(杭州、武汉）,华芯巨数（杭州）微电子有限公司,2021-12-27,31
60,测试工程师,深圳市安保科技有限公司,2021-12-27,28
61,机械开发工程师,杰克缝纫机股份有限公司,2021-12-24,112
62,控制软件工程师,杰克缝纫机股份有限公司,2021-12-24,99
63,硬件工程师,杰克缝纫机股份有限公司,2021-12-24,98
64,应用软件工程师,杰克缝纫机股份有限公司,2021-12-24,94
65,电机结构工程师,杰克缝纫机股份有限公司,2021-12-24,94
66,测试工程师,杰克缝纫机股份有限公司,2021-12-24,92
67,国内营销类,杰克缝纫机股份有限公司,2021-12-24,91
68,海外营销专员,杰克缝纫机股份有限公司,2021-12-24,91
69,售后服务/客户服务,杰克缝纫机股份有限公司,2021-12-24,88
70,生产管理储备,杰克缝纫机股份有限公司,2021-12-24,96
71,财务会计,杰克缝纫机股份有限公司,2021-12-24,87
72,人力资源专员,杰克缝纫机股份有限公司,2021-12-24,93
73,信息化管理岗,中国市政工程西南设计研究总院有限公司,2021-12-24,87
74,事业单位工作人员,胶州市人力资源和社会保障局,2021-12-24,90
75,营销岗,长鹰信质科技股份有限公司,2021-12-24,84
76,研发岗,长鹰信质科技股份有限公司,2021-12-24,82
77,项目岗,长鹰信质科技股份有限公司,2021-12-24,82
78,质量岗,长鹰信质科技股份有限公司,2021-12-24,83
79,机械专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,33
80,宇通校园猎头,郑州宇通集团有限公司,2021-12-24,89
81,电学/通信领域专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,38
82,研发工程师,南京汉隆科技有限公司,2021-12-24,27
83,嵌入式软件工程师,湖南北云科技有限公司,2021-12-24,28
84,高级专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,26
85,测试工程师,南京汉隆科技有限公司,2021-12-24,26
86,超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-12-24,28
87,渠道销售总监,深圳市巨博华投资有限公司,2021-12-23,82
88,技术岗/职能岗,广州地铁设计研究院股份有限公司,2021-12-23,78
89,生产研发工程师,浙江黎明智造股份有限公司,2021-12-23,76
